"sswl_property_id.href","sswl_property_id.text","sswl_property_value","index","url"
"http://sswl.railsplayground.net/browse/properties/472","01_Subject Verb","Yes","1","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/471","02_Verb Subject","No","2","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/441","03_Verb Object","Yes","3","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/442","04_Object Verb","No","4","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/445","05_Subject Verb Object","Yes","5","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/446","06_Subject Object Verb","No","6","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/447","07_Verb Subject Object","No","7","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/448","08_Verb Object Subject","No","8","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/449","09_Object Subject Verb","No","9","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/450","10_Object Verb Subject","No","10","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/457","11_Adposition Noun_Phrase","Yes","11","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/458","12_Noun_Phrase Adposition","No","12","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/515","13_Adjective Noun","Yes","13","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/444","14_Noun Adjective","Yes","14","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/451","15_Numeral Noun","Yes","15","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/452","16_Noun Numeral","No","16","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/453","17_Demonstrative Noun","Yes","17","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/454","18_Noun Demonstrative","No","18","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/461","19_Possessor Noun","Yes","19","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/462","20_Noun Possessor","Yes","20","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/494","21_Pronominal Possessor Noun","Yes","21","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/493","22_Noun Pronominal Possessor","No","22","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/473","A 01_Attributive Adjective Agreement","No","23","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/474","A 02_Predicate Adjective Agreement","No","24","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/463","A 03_Degree Adjective","Yes","25","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/464","A 04_Adjective Degree","Yes","26","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/440","AuxSel 01_Auxiliary Selection","No","27","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/455","C 01_Complementizer Clause","Yes","28","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/456","C 02_Clause Complementizer","No","29","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/459","C 03_Adverbial_Subordinator Clause","Yes","30","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/460","C 04_Clause Adverbial Subordinator","No","31","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/475","Extra Examples","Yes","32","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/512","N2 01_Numeral Noun (indefinite)","Yes","33","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/511","N2 02_Noun Numeral (indefinite)","No","34","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/513","N2 03_Numeral Noun (definite)","Yes","35","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/514","N2 04_Noun Numeral (definite)","No","36","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/523","N2 05_Definite NP (Num N, N Num) has a definite article","Yes","37","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/524","N2 06_Definite NP (Num N, N Num) has a demonstrative","Yes","38","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/525","N2 07_Definite NP (Num N, N Num) lacks a definite article or demonstrative","No","39","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/526","N2 08_Definite NP (Num N, N Num) contains a Plural marker, but Indefinite NP does not","No","40","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/527","N2 09_Definite NP (Num N, N Num) contains any other marking","No","41","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/528","N2 10_The Numeral has a different form in Definite and Indefinite (Num N, N Num) contexts","No","42","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/529","N2 11_The Noun has a different form in Definite and Indefinite (Num N, N Num) contexts","No","43","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/482","Neg 01_Standard Negation is Particle that Precedes the Verb","Yes","44","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/483","Neg 02_Standard Negation is Particle that Follows the verb","Yes","45","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/476","Neg 03_Standard Negation is Prefix","No","46","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/477","Neg 04_Standard Negation is Suffix","Yes","47","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/484","Neg 05_Standard Negation is Negative Auxiliary verb","No","48","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/485","Neg 06_Standard Negation is Higher verb","No","49","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/479","Neg 07_Standard Negation is Tone","No","50","http://sswl.railsplayground.net/browse/languages/English"
"http://sswl.railsplayground.net/browse/properties/480","Neg 08_Standard Negation is Tone plus Other Modification","No","51","http://sswl.railsplayground.net/browse/languages/English"
